"id","RC_x01","RC_x02","RC_x03","RC_x04","RC_x05","RC_x06","RC_x07","RC_x08","RC_x09","RC_x10","RC_x11","RC_x12","RC_x13","RC_x14","RC_x15","RC_x16","RC_x17","RC_x18"
1,1,-1,1,1,0,1,0,-1,1,1,1,0,0,0,1,1,1,0
2,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1
3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0
5,0,-1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,1
6,1,-1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,-1,0,0,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,-1,-1,-1
9,0,1,-1,0,0,0,0,0,0,-1,0,1,-1,-1,0,0,-1,-1
10,0,0,1,0,0,0,0,-1,1,1,0,0,0,1,-1,-1,1,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,1,-1,0,0,0,0,0,0
14,1,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,-1,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0
18,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
20,0,-1,1,0,-1,0,0,1,1,1,0,-1,1,-1,0,0,0,0
21,0,-1,0,0,0,1,0,0,-1,-1,0,0,0,0,-1,-1,0,0
22,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1,-1,0,1,0,1,0,-1,1,0,0,0,1,1,0,0,0,0
25,-1,-1,1,0,0,-1,-1,0,0,0,-1,1,0,0,0,-1,0,-1
26,-1,1,-1,-1,-1,-1,0,0,1,0,-1,0,0,1,0,-1,-1,0
27,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,-1,0,0,-1,1,1,1,-1,0,0,0,0,1,-1
30,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,1
31,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,-1,1
32,1,0,1,0,1,1,0,0,0,-1,0,1,0,-1,-1,0,0,-1
33,0,0,0,0,0,0,0,0,-1,-1,0,1,0,0,1,0,0,0
34,0,-1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0
35,0,1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
36,0,1,1,0,0,0,0,-1,0,-1,1,1,0,0,1,0,0,-1
37,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,1,0,-1,0,0,0,1,1,-1,0,1,1,0,0
41,-1,0,0,-1,0,0,-1,-1,-1,0,0,1,-1,0,0,0,0,0
42,0,0,0,1,0,-1,1,0,-1,0,0,1,0,0,0,0,0,0
43,1,1,0,-1,-1,-1,1,1,-1,0,-1,1,0,0,1,1,1,0
44,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0
45,0,0,-1,0,0,0,-1,0,0,-1,-1,-1,0,0,0,0,0,0
46,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
47,0,-1,0,1,0,1,1,-1,1,0,0,0,0,1,-1,1,0,1
48,0,0,0,0,-1,-1,1,0,1,1,0,0,1,0,0,0,1,0
49,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,1
50,0,0,-1,0,0,0,1,-1,0,-1,0,0,0,1,-1,0,-1,0
51,1,0,1,0,0,0,0,0,0,1,1,0,0,-1,0,-1,0,0
52,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,0,0,0
53,0,0,0,1,0,0,0,0,0,0,1,1,0,-1,0,1,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
55,0,0,1,1,1,0,1,1,0,0,0,1,1,-1,0,0,0,0
56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
57,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,-1,0,0,-1,0
58,0,0,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,1,0
59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
60,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,-1,1,-1
61,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0
62,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
65,1,-1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1
66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
67,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1
68,0,1,0,-1,0,0,0,0,-1,-1,0,1,-1,0,0,1,0,0
69,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,1,0
70,0,-1,0,1,0,0,-1,-1,0,1,0,-1,0,0,1,1,0,1
71,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,0,-1,-1,0
72,0,0,0,0,0,0,0,1,-1,0,-1,0,-1,0,0,0,0,0
73,0,-1,0,0,1,1,-1,0,0,0,-1,1,1,1,0,0,0,1
74,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,-1,0,-1
75,1,0,1,1,0,0,0,1,-1,-1,0,1,-1,-1,1,-1,0,0
76,0,-1,0,0,0,0,-1,1,1,1,0,0,0,1,0,0,1,1
77,0,0,0,0,0,-1,-1,0,0,0,-1,1,0,0,0,0,0,0
78,1,1,1,0,1,0,1,0,0,0,0,-1,1,-1,1,0,0,1
79,-1,1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0
80,0,0,-1,0,0,1,0,0,0,-1,0,-1,0,0,0,1,0,0
81,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,-1,-1,1,0,0,0,1,1,0,0,0,-1,0,0,0,0,1,1
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
85,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0
86,0,1,-1,0,-1,0,1,0,1,0,-1,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,-1
88,1,1,0,0,0,0,0,1,0,0,1,-1,0,-1,0,0,0,0
89,-1,1,-1,-1,-1,0,-1,0,0,0,0,0,-1,0,-1,-1,-1,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1
91,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1
92,0,0,0,-1,0,0,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1
93,-1,-1,-1,1,1,0,-1,-1,-1,0,0,1,0,0,-1,-1,-1,0
94,0,1,0,0,0,0,0,1,1,1,0,-1,0,0,0,0,0,0
95,0,-1,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0
96,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
98,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
99,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,1,0,0,0,0
100,0,1,0,-1,-1,-1,0,1,1,0,-1,-1,0,0,0,0,0,0
101,0,0,0,1,0,-1,1,1,0,0,1,1,0,0,1,-1,1,1
102,0,0,1,0,1,0,1,-1,0,-1,0,1,1,0,1,1,0,0
103,0,-1,-1,1,0,1,-1,0,0,1,0,0,0,0,-1,0,0,0
104,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
105,0,-1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
106,0,0,-1,0,-1,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0
107,-1,1,-1,0,0,-1,-1,-1,-1,0,1,1,-1,1,0,0,0,-1
108,-1,0,-1,-1,-1,1,-1,-1,0,1,0,0,-1,0,-1,-1,-1,-1
109,0,1,-1,-1,-1,0,0,0,1,1,1,-1,0,1,-1,-1,-1,-1
110,0,0,0,1,1,-1,0,0,0,0,1,1,0,-1,1,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,1,0,-1,-1,-1,1,0,0,0,-1,-1,-1,0,0,0,1,0
114,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
115,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
116,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
117,-1,0,-1,0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0
118,0,0,0,-1,-1,1,-1,0,0,1,0,-1,0,0,-1,-1,-1,-1
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
121,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
122,0,0,0,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
123,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,0,0,0,0
125,1,0,1,-1,-1,1,0,0,0,0,1,0,0,-1,-1,0,1,0
126,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,0
127,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1
128,0,0,0,1,1,-1,1,0,1,0,1,1,1,0,1,1,0,0
129,0,-1,1,0,0,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1
130,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0
131,-1,0,-1,0,0,1,0,1,-1,0,-1,0,0,0,-1,0,0,1
132,0,1,0,0,0,0,0,0,0,-1,1,0,1,-1,-1,-1,-1,-1
133,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0
134,0,0,0,-1,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0
135,1,0,0,0,0,0,1,0,1,1,1,-1,1,-1,1,0,0,0
136,0,0,0,-1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0
137,1,0,1,0,0,0,1,1,0,1,0,-1,1,-1,-1,0,1,0
138,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
139,0,-1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
140,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0
141,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
142,-1,1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,1,-1,0,0,1
143,-1,1,-1,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,0
144,0,0,-1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0
145,0,1,-1,0,0,0,0,0,0,-1,1,1,0,0,1,0,0,0
146,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0
147,0,0,-1,1,1,0,1,1,0,0,-1,0,1,1,1,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,0,1,-1,0,-1,-1,1,-1,1,1,1,0,1,1,0,0,1,1
